metric,value
ground_routing,OLSR
ground_category,proactive
ground_nodes,20
satellites,0
sim_time,60
seed,15
flows,7
tx_packets,36620
rx_packets,34832
pdr,95.1174
avg_delay_ms,6.12806
runtime_seconds,47
data_bytes_tx,39151080
control_bytes_tx,15691144
nrl,0.400784
