metric,value
ground_routing,DSDV
ground_category,proactive
ground_nodes,20
satellites,0
sim_time,60
seed,9
flows,7
tx_packets,36620
rx_packets,35002
pdr,95.5816
avg_delay_ms,4.15929
runtime_seconds,43
data_bytes_tx,45775800
control_bytes_tx,11915272
nrl,0.260296
