metric,value
ground_routing,OLSR
ground_category,proactive
ground_nodes,20
satellites,0
sim_time,60
seed,8
flows,7
tx_packets,36620
rx_packets,35631
pdr,97.2993
avg_delay_ms,1.64251
runtime_seconds,40
data_bytes_tx,43305300
control_bytes_tx,4039604
nrl,0.093282
