metric,value
ground_routing,DSDV
ground_category,proactive
ground_nodes,20
satellites,0
sim_time,60
seed,7
flows,7
tx_packets,36620
rx_packets,36362
pdr,99.2955
avg_delay_ms,1.62206
runtime_seconds,28
data_bytes_tx,23594760
control_bytes_tx,7992628
nrl,0.338746
