metric,value
ground_routing,DSDV
ground_category,proactive
ground_nodes,20
satellites,0
sim_time,60
seed,10
flows,7
tx_packets,36620
rx_packets,36605
pdr,99.959
avg_delay_ms,0.992741
runtime_seconds,20
data_bytes_tx,19771560
control_bytes_tx,4022880
nrl,0.203468
