metric,value
ground_routing,OLSR
ground_category,proactive
ground_nodes,20
satellites,0
sim_time,60
seed,14
flows,7
tx_packets,36620
rx_packets,36373
pdr,99.3255
avg_delay_ms,0.833445
runtime_seconds,23
data_bytes_tx,23466780
control_bytes_tx,4032388
nrl,0.171834
