metric,value
ground_routing,OLSR
ground_category,proactive
ground_nodes,20
satellites,0
sim_time,60
seed,6
flows,7
tx_packets,29296
rx_packets,29280
pdr,99.9454
avg_delay_ms,0.901819
runtime_seconds,31
data_bytes_tx,39749400
control_bytes_tx,70696
nrl,0.001779
