metric,value
ground_routing,DSDV
ground_category,proactive
ground_nodes,20
satellites,0
sim_time,60
seed,12
flows,7
tx_packets,36620
rx_packets,35671
pdr,97.4085
avg_delay_ms,3.97329
runtime_seconds,48
data_bytes_tx,57454380
control_bytes_tx,7978880
nrl,0.138873
