metric,value
ground_routing,OLSR
ground_category,proactive
ground_nodes,20
satellites,0
sim_time,60
seed,10
flows,7
tx_packets,36620
rx_packets,36618
pdr,99.9945
avg_delay_ms,0.89837
runtime_seconds,23
data_bytes_tx,19774800
control_bytes_tx,4031940
nrl,0.203893
