metric,value
ground_routing,DSDV
ground_category,proactive
ground_nodes,20
satellites,0
sim_time,60
seed,14
flows,7
tx_packets,36620
rx_packets,33926
pdr,92.6434
avg_delay_ms,0.760638
runtime_seconds,19
data_bytes_tx,23331240
control_bytes_tx,4029156
nrl,0.172694
