protocol,n,mean_nrl,std_nrl,ci_lower,ci_upper,cv_percent,min_nrl,max_nrl
AODV,15,0.23227373333333332,0.09672012066448418,0.1787119158114371,0.2858355508552295,41.640576089454875,0.093122,0.403373
DSDV,15,0.2167351333333333,0.08131350376858576,0.17170521586634357,0.26176505080032303,37.51745391621745,0.096242,0.34765
OLSR,15,0.21092993333333332,0.12108723249699346,0.14387405905735212,0.2779858076093145,57.40637688707694,0.001779,0.400784
